id,code,commonName,className,order,scientificName
5567,LVER,Gray-fronted Dove,AVES,Columbiformes,Leptotila verreauxi
5631,AABU,Wattled Guan,AVES,Galliformes,Aburria aburri
5632,CGOU,Sickle-winged Guan,AVES,Galliformes,Chamaepetes goudotii
5633,MTUB,Razor-billed Curassow,AVES,Galliformes,Mitu tuberosum
5627,OGUT,Speckled Chacalaca,AVES,Galliformes,Ortalis guttata
5630,PCUM,Blue-throated Piping-guan,AVES,Galliformes,Pipile cumanensis
5629,PJAC,Spix's Guan,AVES,Galliformes,Penelope jacquacu
5628,PMON,Andean Guan,AVES,Galliformes,Penelope montagnii
5555,NGEO,Rufous-vented Ground-cuckoo,AVES,Cuculiformes,Neomorphus geoffroyi
5635,OBAL,Stripe-faced Wood-quail,AVES,Galliformes,Odontophorus balliviani
5634,OSPE,Rufous-breasted Wood-quail,AVES,Galliformes,Odontophorus speciosus
5636,OSTE,Starred Wood-quail,AVES,Galliformes,Odontophorus stellatus
5637,PLEU,Pale-winged Trumpeter,AVES,Gruiformes,Psophia leucoptera
5556,ACAJ,Gray-cowled Wood-rail,AVES,Gruiformes,Aramides cajaneus
5618,COBS,Brown Tinamou,AVES,Tinamiformes,Crypturellus obsoletus
5624,CPAR,Small-billed Tinamou,AVES,Tinamiformes,Crypturellus parvirostris
5620,CSTR,Brazilian Tinamou,AVES,Tinamiformes,Crypturellus strigulosus
5619,CUND,Undualted Tinamou,AVES,Tinamiformes,Crypturellus undulatus
5622,CVAR,Variegated Tinamou,AVES,Tinamiformes,Crypturellus variegatus
5613,NNIG,Hooded Tinamou,AVES,Tinamiformes,Nothercercus nigrocapilus
5625,NPEN,Andean Tinamou,AVES,Tinamiformes,Nothoprocta pentlandii
5616,TGUT,White-throated Tinamou,AVES,Tinamiformes,Tinamus guttatus
5615,TOSG,Black Tinamou,AVES,Tinamiformes,Tinamus osgoodi
5614,TTAO,Gray Tinamou,AVES,Tinamiformes,Tinamus tao
5115,HYLCAU,Shy Heathwren,AVES,Passeriformes,Hylacola cauta
4918,AVIJER,Jerdon's Baza,AVES,Accipitriformes,Aviceda jerdoni
4919,AVILEU,Black Baza,AVES,Accipitriformes,Aviceda leuphotes
4932,BUTTEE,White-eyed Buzzard,AVES,Accipitriformes,Butastur teesa
4933,BUTBRA,Madagascar Buzzard,AVES,Accipitriformes,Buteo brachypterus
4934,BUTORE,Mountain Buzzard,AVES,Accipitriformes,Buteo oreophilus
4975,CIRCYA,Hen Harrier,AVES,Accipitriformes,Circus cyaneus
4976,CIRMEL,Pied Harrier,AVES,Accipitriformes,Circus melanoleucos
5031,DRYSPE,Congo Serpent-Eagle,AVES,Accipitriformes,Dryotriorchis spectabilis
5094,GYPHIM,Himalayan Griffon,AVES,Accipitriformes,Gyps himalayensis
5119,ICTMAL,Black Eagle,AVES,Accipitriformes,Ictinaetus malaiensis
5150,LOPKIE,Rufous-bellied Eagle,AVES,Accipitriformes,Lophotriorchis kienerii
5158,MACALC,Bat Hawk,AVES,Accipitriformes,Macheiramphus alcinus
5265,PITJEF,Philippine Eagle,AVES,Accipitriformes,Pithecophaga jefferyi
5273,POLTYP,African Harrier-Hawk,AVES,Accipitriformes,Polyboroides typus
5399,UROMAC,Long-tailed Hawk,AVES,Accipitriformes,Urotriorchis macrourus
4861,ACRCON,Blunt-winged Warbler,AVES,Passeriformes,Acrocephalus concinens
4862,ACRGRI,Basra Reed Warbler,AVES,Passeriformes,Acrocephalus griseldis
4863,AEGIOU,Black-browed Tit,AVES,Passeriformes,Aegithalos iouschistos
4869,ALAHEI,Turkestan Short-toed Lark,AVES,Passeriformes,Alaudala heinei
4870,ALASOM,Somali Short-toed Lark,AVES,Passeriformes,Alaudala somalica
4938,CALDUK,Mongolian Short-toed Lark,AVES,Passeriformes,Calandrella dukhunensis
4948,CERCHU,Short-clawed Lark,AVES,Passeriformes,Certhilauda chuana
4955,CHEALB,Spike-heeled Lark,AVES,Passeriformes,Chersomanes albofasciata
5098,HALGUL,Brown-breasted Kingfisher,AVES,Coraciiformes,Halcyon gularis
5167,MEGMAX,Giant Kingfisher,AVES,Coraciiformes,Megaceryle maxima
4923,BIZLOB,Musk Duck,AVES,Anseriformes,Biziura lobata
5203,NETCOR,Cotton Pygmy-Goose,AVES,Anseriformes,Nettapus coromandelianus
5353,SPAPLA,Red Shoveler,AVES,Anseriformes,Spatula platalea
4864,AERFUC,White-nest Swiftlet,AVES,Apodiformes,Aerodramus fuciphagus
4865,AERMAX,Black-nest Swiftlet,AVES,Apodiformes,Aerodramus maximus
5106,HIRGIG,Brown-backed Needletail,AVES,Apodiformes,Hirundapus giganteus
